noun,goryachij,teplyj,code
шепот,2738,123,#b39a78
каша,2701,258,#b39a78
камера,2677,342,#b39a78
стенка,2672,520,#839255
печка,2583,4620,#b39a78
дружба,2497,2218,#672eb0
душа,2497,1507,#672eb0
лепешка,2468,355,#b39a78
место,2446,24652,#49a3ce
человек,2418,768,#860b50
асфальт,2262,616,#b39a78
смесь,2260,248,#3c7f35
взгляд,2199,3327,#93b9da
бензол,2182,157,#b39a78
еда,2167,129,#b39a78
порыв,2161,91,#b39a78
смола,2032,99,#b39a78
пепел,1953,686,#b39a78
железо,1935,62,#0f18b0
бульон,1909,302,#b39a78
конец,1849,586,#3d18a8
духовка,1826,204,#b39a78
объятие,1788,835,#b39a78
пламень,1686,142,#b39a78
часть,1685,5480,#49a3ce
надежда,1679,315,#083c93
туман,1679,2753,#b39a78
баня,1658,797,#b39a78
палец,1623,1338,#1cfdb1
борщ,1565,58,#b39a78
ящик,1564,716,#b39a78
похлебка,1507,158,#b647c2
мольба,1493,500,#b39a78
чайник,1465,81,#b39a78
минута,1464,95,#b39a78
полоса,1452,431,#6e4099
письмо,1432,5950,#2bb65e
запах,1425,5336,#93b9da
ужин,1417,76,#b39a78
краска,1394,1478,#93b9da
радость,1384,716,#cde6c4
блеск,1358,773,#93b9da
характер,1357,226,#3c7f35
слой,1352,3182,#091dea
кирпич,1290,605,#b39a78
дым,1234,831,#cc44c7
воск,1226,426,#b39a78
сироп,1209,136,#b39a78
он,1202,155,#b39a78
грудь,1190,1879,#1cfdb1
мясо,1187,762,#b39a78
язык,1182,575,#3d0d16
румянец,1168,114,#b39a78
ацетон,1162,112,#b39a78
пирог,1154,119,#b39a78
материал,1147,111,#d5ceb8
спасибо,1145,89,#b39a78
нрав,1131,48,#677df7
жизнь,1120,973,#188e39
среда,1106,563,#1848b7
рассол,1105,43,#b39a78
беседа,1091,964,#b39a78
метанол,1090,61,#b39a78
снег,1088,900,#09df6c
забота,1083,1353,#378121
статья,1060,286,#b39a78
сторона,1045,1307,#aeef1b
масса,1028,3007,#142084
капля,1027,1625,#23a2ff
час,1011,157,#b39a78
компресс,1007,384,#b39a78
ядро,988,1707,#b39a78
свинец,979,61,#b39a78
мысль,971,160,#860b50
пары,967,45,#b39a78
огонь,936,922,#cc44c7
вещество,922,43,#23a2ff
атмосфера,905,2412,#23a2ff
струйка,903,1360,#b39a78
отношение,896,12109,#c0616b
встреча,876,5965,#6e4099
труба,855,700,#10c9a3
небо,850,1696,#10c9a3
строка,836,1507,#b39a78
рот,807,141,#d772e3
лето,801,10240,#09df6c
стекло,799,117,#0f18b0
искра,794,99,#b39a78
жир,776,51,#b647c2
комок,736,442,#b39a78
голос,721,1908,#a05211
поле,691,193,#b39a78
влага,688,1428,#d5ceb8
осколок,677,92,#b39a78
дух,665,1453,#b39a78
сила,652,225,#aeef1b
денек,641,885,#b39a78
варево,640,106,#b39a78
выражение,618,927,#49a3ce
пара,604,107,#7ff314
денечек,601,88,#b39a78
переход,601,812,#3446c3
плечо,597,1856,#1cfdb1
спина,588,579,#1cfdb1
нежность,581,348,#b39a78
кусок,556,187,#d5ceb8
кожа,543,1000,#0f18b0
парень,541,55,#b39a78
марево,537,237,#b39a78
вод,529,2507,#b39a78
ласка,527,1217,#677df7
галька,519,181,#b39a78
дождь,507,12069,#ad8a3b
период,503,44589,#fb91b4
озеро,478,1037,#b39a78
питие,475,524,#b39a78
промывка,470,340,#b39a78
кружка,463,42,#b39a78
степь,457,303,#b39a78
настой,457,517,#b39a78
учасие,455,106,#b39a78
подушка,444,449,#b39a78
трава,438,1714,#96a3ee
год,437,5005,#09df6c
ток,427,435,#b39a78
ручка,426,422,#2bb65e
реакция,417,54,#142084
образ,410,353,#93b9da
бок,394,2696,#6e4099
лед,393,166,#d5ceb8
нога,389,543,#1cfdb1
полдень,388,263,#b39a78
вихорь,383,724,#b39a78
биение,382,55,#b39a78
отвар,373,358,#b39a78
ветерок,364,5723,#b39a78
дорога,359,116,#d00a66
прикосновение,358,662,#091dea
искренность,354,60,#01cc5a
бутылка,351,90,#b39a78
ствол,336,532,#96a3ee
солнышко,327,1758,#b39a78
облако,321,1649,#ad8a3b
грязь,321,342,#721510
впечатление,306,197,#93b9da
фаза,305,1295,#fb91b4
булочка,282,149,#b39a78
месяц,281,14140,#b39a78
внимание,280,1024,#93b9da
шея,273,925,#1cfdb1
волочение,265,216,#b39a78
волнение,265,56,#860b50
форма,257,46,#98e449
припарка,253,287,#b39a78
мед,252,473,#b39a78
ночь,248,9654,#ad8a3b
тьма,246,714,#b39a78
грелка,239,124,#b39a78
дрожь,236,138,#b39a78
усердие,235,153,#32ee8d
цвет,233,1575,#93b9da
цветок,232,508,#96a3ee
постель,229,8709,#721510
толчок,223,49,#cc44c7
стих,209,132,#b39a78
отзыв,206,1462,#378121
звон,197,62,#b39a78
водка,196,943,#b39a78
навоз,196,749,#b39a78
память,186,603,#93b9da
тяжесть,186,443,#ad8a3b
упование,185,61,#b39a78
сияние,185,686,#b39a78
река,180,1156,#ad8a3b
очаг,179,821,#b39a78
стена,178,1274,#b39a78
темнота,177,864,#93b9da
ком,175,123,#b39a78
тон,174,7008,#b39a78
почва,170,1126,#96a3ee
водичка,169,828,#b39a78
котлета,168,48,#b39a78
живот,165,519,#1cfdb1
жалость,164,97,#01cc5a
хвоя,163,158,#b39a78
р,151,54,#b39a78
головка,151,41,#b39a78
рукопожатие,150,364,#b39a78
слюна,145,43,#b39a78
н,145,626,#b39a78
воспоминание,140,6346,#b39a78
ухо,134,218,#b39a78
пойло,130,520,#b39a78
ручеек,129,164,#b39a78
улыбка,125,3638,#b39a78
звук,125,331,#93b9da
асфальтобетон,123,149,#b39a78
доска,123,433,#b39a78
нос,122,183,#93b9da
бурда,122,106,#b39a78
шапка,121,5189,#721510
контакт,120,44,#091dea
фраза,120,83,#3d0d16
фронт,119,7528,#b39a78
сталь,118,59,#b39a78
зерно,117,386,#b39a78
висок,117,56,#b39a78
сон,116,752,#d5ab1f
бедро,113,115,#1cfdb1
заступник,112,293,#b39a78
крыша,110,485,#2bb65e
салфетка,107,61,#b39a78
кольцо,107,61,#091dea
яйцо,106,337,#b39a78
эфир,106,84,#142084
мука,103,252,#b647c2
я,101,40,#d6b420
броня,100,74,#b39a78
они,100,41,#b39a78
счастие,99,173,#b39a78
морда,97,537,#b39a78
ливень,95,1264,#ad8a3b
буханка,95,130,#b39a78
тишина,94,942,#93b9da
колено,92,546,#1cfdb1
женщина,79,78,#1cfdb1
лист,79,160,#6e4099
пол,79,800,#d4d14e
слезинка,78,105,#b39a78
долина,77,906,#b39a78
пустота,75,60,#b39a78
мрак,75,416,#b39a78
родник,75,131,#b39a78
движение,74,122,#d4d14e
капот,73,290,#b39a78
покрытие,73,45,#2bb65e
высказывание,72,46,#a05211
капелька,72,98,#b39a78
батарея,72,650,#b39a78
мгла,72,781,#b39a78
нутро,71,246,#b39a78
пиво,71,934,#b39a78
полотенце,71,195,#b39a78
пожатие,71,195,#b39a78
энергия,70,98,#302674
парок,70,179,#b39a78
пена,69,118,#b39a78
осень,69,6264,#09df6c
тесто,68,95,#b39a78
ручей,68,540,#b39a78
теснота,68,82,#6e4099
страница,67,428,#b39a78
проводы,67,393,#b39a78
берег,67,511,#ad8a3b
уважение,67,55,#01cc5a
аромат,67,768,#93b9da
красота,66,59,#cde6c4
п,65,158,#b39a78
ручонка,64,123,#b39a78
ощущение,64,219,#93b9da
костер,64,53,#b39a78
затылок,64,46,#b39a78
глина,64,172,#b39a78
переписка,63,62,#b39a78
жижа,63,211,#23a2ff
сок,63,419,#96a3ee
радиатор,63,69,#b39a78
море,63,19266,#ad8a3b
скала,62,42,#b39a78
шерсть,61,759,#b39a78
город,61,413,#721510
водица,60,603,#b39a78
плоть,59,578,#b39a78
локоть,59,113,#b39a78
грусть,59,693,#b39a78
тельце,59,624,#b39a78
брызги,58,182,#23a2ff
воз,58,40,#b39a78
пальчик,58,66,#b39a78
трепет,57,54,#b39a78
перо,57,137,#b39a78
лоно,57,139,#b39a78
вагон,57,771,#b39a78
булка,57,139,#b39a78
июль,56,164,#b39a78
игла,56,45,#b39a78
она,55,587,#b39a78
отблеск,55,217,#b39a78
трубка,55,105,#10c9a3
блик,54,249,#b39a78
печурка,54,180,#b39a78
влажность,54,155,#d5ceb8
вонь,54,43,#b39a78
отделение,54,51,#a2d415
испарина,54,120,#b39a78
истома,53,194,#b39a78
синева,53,314,#b39a78
круг,53,150,#aeef1b
закат,52,144,#10c9a3
роса,52,472,#b39a78
машина,52,374,#2bb65e
ребята,52,309,#b39a78
регион,52,94,#ad8a3b
испарение,52,383,#b39a78
печень,52,55,#b39a78
песочек,51,264,#b39a78
юг,51,1545,#b39a78
мир,51,638,#d5ceb8
шум,50,65,#93b9da
простыня,50,57,#b39a78
речка,49,234,#b39a78
сырость,49,1086,#d5ceb8
ноздря,49,146,#b39a78
дерево,49,585,#96a3ee
листва,48,109,#b39a78
начало,48,103,#13992b
строчка,48,67,#b39a78
крыло,48,607,#b39a78
горло,48,42,#d772e3
пистолет,47,70,#b39a78
гора,47,44,#ad8a3b
обращение,47,152,#ad22bd
духота,47,45,#d772e3
дно,46,80,#b39a78
солома,46,354,#b39a78
лежанка,46,1566,#b39a78
край,46,13625,#091dea
тропинка,46,47,#b39a78
компот,45,48,#b39a78
кусочек,44,62,#b39a78
грунт,44,60,#ad8a3b
сквозняк,44,77,#b39a78
взор,44,82,#b39a78
материя,43,119,#34da02
въры,43,40,#b39a78
храп,43,45,#b39a78
глубина,43,315,#ad8a3b
песня,43,43,#b39a78
послание,42,243,#b39a78
