noun,syroj,vlazhnyj,code
тряпка,684,3701,#f32c09
пол,675,227,#393e45
местообитание,666,4137,#f32c09
ветка,661,261,#f32c09
вечер,633,203,#edb615
скала,628,1286,#f32c09
белье,613,366,#f32c09
образец,597,2009,#a4724f
свежесть,581,1112,#f32c09
осадок,580,1193,#f32c09
местность,553,400,#edb615
поле,530,599,#f32c09
листва,526,828,#f32c09
хлопок,511,292,#f32c09
небо,506,641,#f5ce76
холодок,496,595,#f32c09
бумага,485,995,#bc5dcc
тень,482,657,#d1fb5f
грязь,440,107,#d45744
ветерок,439,967,#f32c09
мрак,429,293,#f32c09
тишина,407,392,#3f7808
весна,395,2400,#a9fe20
полумрак,394,63,#f32c09
поверхность,393,3244,#d1171f
топливо,391,500,#bc5dcc
кора,391,284,#f32c09
шинель,382,84,#f32c09
дорога,370,342,#18d1c6
зима,366,1560,#a9fe20
смола,353,110,#f32c09
сумерки,351,228,#edb615
простыня,343,619,#f32c09
луговина,334,88,#f32c09
облако,327,422,#edb615
сумрак,322,525,#f32c09
туча,309,172,#f32c09
пар,307,8019,#f32c09
концентрат,298,145,#f32c09
тундра,296,371,#f32c09
долина,293,597,#f32c09
хвоя,292,149,#f32c09
сено,283,489,#f32c09
семя,282,1157,#f32c09
постель,276,96,#d45744
глубина,276,370,#edb615
навоз,274,40,#f32c09
бетон,259,183,#bc5dcc
препарат,259,1103,#f32c09
известь,257,49,#f32c09
табак,256,106,#f32c09
дыхание,255,1936,#393e45
полотенце,252,1715,#f32c09
эфир,241,1034,#d1fb5f
зелень,239,750,#f32c09
опилки,238,505,#f32c09
условие,237,7896,#699bfc
понижение,235,332,#7321f0
кусок,235,151,#d1171f
ком,235,345,#f32c09
улица,234,49,#d45744
дорожка,225,229,#f32c09
скамья,218,74,#f32c09
асфальт,214,791,#f32c09
ложбина,212,65,#f32c09
атмосфера,212,8916,#be725b
склон,211,1374,#edb615
дым,211,467,#3b3b37
лужайка,210,172,#f32c09
тип,204,1583,#f32c09
портянка,201,56,#f32c09
голос,200,297,#79325d
клетка,200,121,#93d42f
гранула,198,127,#f32c09
опилка,197,1173,#f32c09
материя,196,136,#290097
тропинка,193,94,#f32c09
слой,191,4570,#69387a
растение,191,90,#393e45
початок,190,46,#f32c09
аргон,188,82,#f32c09
шихта,187,222,#f32c09
глаз,179,15482,#3f7808
грудь,174,219,#28ac46
сад,173,125,#f32c09
скамейка,173,45,#f32c09
рука,172,4027,#28ac46
ветвь,166,286,#a0f0c3
лицо,163,965,#28ac46
пастбище,163,84,#f32c09
заросль,161,124,#f32c09
комок,158,145,#f32c09
поляна,157,73,#f32c09
шкурка,155,85,#f32c09
ствол,153,266,#286759
дно,152,527,#f32c09
кукуруза,148,108,#f32c09
часть,144,1182,#f31786
стебель,139,182,#286759
пласт,139,123,#f32c09
след,138,2151,#a4724f
корм,138,1315,#f32c09
тепло,137,1253,#3f7808
чернозем,137,242,#f32c09
ельник,136,127,#f32c09
снежок,131,47,#f32c09
сырье,129,199,#f32c09
хлопья,126,316,#f32c09
он,123,58,#f32c09
вата,122,795,#f32c09
ягода,121,41,#f32c09
тело,119,1775,#93d42f
пространство,117,347,#401c05
сквозняк,116,47,#f32c09
степь,116,345,#f32c09
мицелий,115,104,#f32c09
сила,114,54,#646dd6
краска,113,41,#3f7808
мякоть,111,73,#f32c09
духота,109,987,#bf2e98
клок,109,57,#bf2e98
дух,106,195,#f32c09
пленка,106,630,#f32c09
боры,102,159,#f32c09
пелена,100,594,#f32c09
месяц,97,763,#f32c09
волос,96,3088,#bf2e98
звук,95,263,#3f7808
порода,93,765,#f32c09
кристалл,92,202,#d1171f
стенка,92,246,#3aad26
кокс,82,75,#f32c09
борозда,81,179,#f32c09
суглинок,80,546,#f32c09
палуба,78,51,#f32c09
куст,76,208,#f32c09
проба,76,500,#f32c09
н,75,53,#f32c09
отходы,75,60,#d45744
осадки,74,325,#edb615
язык,73,647,#a4724f
волокно,73,46,#69387a
мостовая,73,142,#f32c09
пыль,72,981,#f32c09
плащ,71,50,#f32c09
тяжесть,67,98,#edb615
оттиск,66,79,#f32c09
струя,66,105,#401c05
листок,65,40,#f32c09
прель,64,67,#f32c09
сукно,64,43,#f32c09
аромат,62,235,#3f7808
груда,61,41,#f32c09
перила,60,41,#f32c09
солончак,60,282,#f32c09
злак,59,115,#f32c09
полоса,59,447,#401c05
отпечаток,58,96,#e480c3
гул,57,64,#f32c09
подстилка,57,437,#f32c09
газета,53,42,#f32c09
природа,53,126,#646dd6
платье,53,57,#f32c09
низменность,51,96,#f32c09
тропа,51,72,#f32c09
палец,51,1048,#28ac46
цветок,50,419,#286759
покров,50,176,#69387a
страна,50,238,#f32c09
тряпочка,49,658,#f32c09
конец,49,41,#c0966c
брезент,48,51,#f32c09
испарение,47,557,#f32c09
красота,47,43,#56fdb6
поток,46,252,#401c05
она,46,45,#f32c09
голова,44,151,#f32c09
даль,44,78,#f32c09
теплота,43,445,#3b3b37
равнина,42,149,#edb615
пень,42,45,#f32c09
чернота,41,156,#f32c09
дерн,41,45,#f32c09
