noun,syroj,vlazhnyj,code
сено,283,489,#7b923d
семя,282,1157,#aa8296
постель,276,96,#a7d32c
глубина,276,370,#c47d9a
навоз,274,40,#aa8296
бетон,259,183,#aa8296
препарат,259,1103,#aa8296
известь,257,49,#aa8296
табак,256,106,#c8cb50
дыхание,255,1936,#e9e7b8
полотенце,252,1715,#1e3766
эфир,241,1034,#aa8296
зелень,239,750,#6bfeee
опилки,238,505,black
условие,237,7896,#fd962a
понижение,235,332,black
кусок,235,151,black
ком,235,345,black
улица,234,49,#2e33eb
дорожка,225,229,#74d7c7
скамья,218,74,#8d4842
асфальт,214,791,#2e33eb
ложбина,212,65,#2e33eb
атмосфера,212,8916,#a33680
склон,211,1374,#2e33eb
дым,211,467,#aa8296
лужайка,210,172,#2e33eb
тип,204,1583,#2fd666
портянка,201,56,#31edc8
голос,200,297,#ecf4af
клетка,200,121,#74d7c7
гранула,198,127,black
опилка,197,1173,black
материя,196,136,#aa8296
тропинка,193,94,#2e33eb
слой,191,4570,#1ba21e
растение,191,90,#c8cb50
початок,190,46,#58c0de
аргон,188,82,#aa8296
шихта,187,222,#aa8296
глаз,179,15482,black
грудь,174,219,black
сад,173,125,#f04c11
скамейка,173,45,#8d4842
рука,172,4027,#2fd666
ветвь,166,286,black
лицо,163,965,#2e33eb
пастбище,163,84,#2e33eb
заросль,161,124,#2e33eb
комок,158,145,black
поляна,157,73,#2e33eb
шкурка,155,85,#aa8296
ствол,153,266,#74d7c7
дно,152,527,black
кукуруза,148,108,#c8cb50
часть,144,1182,#e9d515
стебель,139,182,black
пласт,139,123,black
след,138,2151,#cea129
корм,138,1315,#878ac0
тепло,137,1253,#a8cf69
чернозем,137,242,#aa8296
ельник,136,127,#aa8296
снежок,131,47,#74d7c7
сырье,129,199,black
хлопья,126,316,#6f6bab
он,123,58,#02a8b0
вата,122,795,#aa8296
ягода,121,41,#2fd666
тело,119,1775,#b4aa07
пространство,117,347,#2e33eb
сквозняк,116,47,#4ce3ba
степь,116,345,#2e33eb
мицелий,115,104,black
сила,114,54,#b7801c
краска,113,41,#a3c633
мякоть,111,73,#aa8296
духота,109,987,#4ce3ba
клок,109,57,black
дух,106,195,#6a4bbb
пленка,106,630,#aa8296
боры,102,159,black
пелена,100,594,#aa8296
месяц,97,763,#7bdb4e
волос,96,3088,#aa8296
звук,95,263,#2889ae
порода,93,765,#aa8296
кристалл,92,202,black
стенка,92,246,#e69a23
кокс,82,75,#aa8296
борозда,81,179,#2e33eb
суглинок,80,546,#aa8296
палуба,78,51,#c0ed69
куст,76,208,#f04c11
проба,76,500,#aa8296
н,75,53,black
отходы,75,60,black
осадки,74,325,#aa8296
язык,73,647,#2fd666
волокно,73,46,#aa8296
мостовая,73,142,#2e33eb
пыль,72,981,#aa8296
плащ,71,50,#31edc8
тяжесть,67,98,#b4aa07
оттиск,66,79,#2d7955
струя,66,105,#e352ab
листок,65,40,#3455f1
прель,64,67,black
сукно,64,43,#aa8296
аромат,62,235,#6a4bbb
груда,61,41,#b7801c
перила,60,41,#74d7c7
солончак,60,282,black
злак,59,115,#c8cb50
полоса,59,447,#ba6aaf
отпечаток,58,96,#2e33eb
гул,57,64,#e44d03
подстилка,57,437,#aa8296
газета,53,42,#e8255e
природа,53,126,#2e33eb
платье,53,57,#31edc8
низменность,51,96,#2e33eb
тропа,51,72,#2e33eb
палец,51,1048,#74d7c7
цветок,50,419,#c8cb50
покров,50,176,#a7d32c
страна,50,238,#2e33eb
тряпочка,49,658,black
конец,49,41,#e03b68
брезент,48,51,#aa8296
испарение,47,557,#aa8296
красота,47,43,black
поток,46,252,#1ba21e
она,46,45,black
голова,44,151,#2fd666
даль,44,78,#2e33eb
теплота,43,445,#b31504
равнина,42,149,#2e33eb
пень,42,45,#2fd666
чернота,41,156,black
дерн,41,45,black
