noun,goryachij,teplyj,code
жир,776,51,#0b5e0b
комок,736,442,black
голос,721,1908,#6f2229
поле,691,193,#7235ba
влага,688,1428,#0b5e0b
осколок,677,92,black
дух,665,1453,#7d2f8c
сила,652,225,#057b90
денек,641,885,black
варево,640,106,#e777fb
выражение,618,927,#87c687
пара,604,107,#596b3e
денечек,601,88,black
переход,601,812,#be8fbe
плечо,597,1856,#7235ba
спина,588,579,black
нежность,581,348,#1e552d
кусок,556,187,black
кожа,543,1000,#0b5e0b
парень,541,55,#67913b
марево,537,237,#0b5e0b
вод,529,2507,black
ласка,527,1217,#7ffcb1
галька,519,181,#41c60b
дождь,507,12069,#904b62
период,503,44589,#87c687
озеро,478,1037,#55145b
питие,475,524,black
промывка,470,340,black
кружка,463,42,#ff6540
степь,457,303,#7235ba
настой,457,517,#7ae075
учасие,455,106,black
подушка,444,449,#ff6540
трава,438,1714,#8b6359
год,437,5005,#68d831
ток,427,435,#7235ba
ручка,426,422,#e050a0
реакция,417,54,#a6c5ab
образ,410,353,#62b5af
бок,394,2696,#7235ba
лед,393,166,#0b5e0b
нога,389,543,black
полдень,388,263,#7235ba
вихорь,383,724,black
биение,382,55,#b2363f
отвар,373,358,#e777fb
ветерок,364,5723,black
дорога,359,116,#4b4eb5
прикосновение,358,662,#8bb2b5
искренность,354,60,black
бутылка,351,90,#2ab436
ствол,336,532,#ff6540
солнышко,327,1758,#16d6df
облако,321,1649,black
грязь,321,342,#0b5e0b
впечатление,306,197,#6f2229
фаза,305,1295,black
булочка,282,149,black
месяц,281,14140,#59876f
внимание,280,1024,#6f2229
шея,273,925,black
волочение,265,216,black
волнение,265,56,#f88be7
форма,257,46,#ff6540
припарка,253,287,#0b5e0b
мед,252,473,#e777fb
ночь,248,9654,#a6096d
тьма,246,714,#4f56e8
грелка,239,124,#ff6540
дрожь,236,138,#a6c5ab
усердие,235,153,#1fa2aa
цвет,233,1575,#67af29
цветок,232,508,#8b6359
постель,229,8709,#0940fa
толчок,223,49,#6e803e
стих,209,132,#e6df7a
отзыв,206,1462,#1e552d
звон,197,62,#1e552d
водка,196,943,#e777fb
навоз,196,749,#0b5e0b
память,186,603,#6f2229
тяжесть,186,443,#5eb7bb
упование,185,61,#6f2229
сияние,185,686,#3b788a
река,180,1156,#057b90
очаг,179,821,#7235ba
стена,178,1274,#ba408d
темнота,177,864,#16d6df
ком,175,123,black
тон,174,7008,#67af29
почва,170,1126,#963339
водичка,169,828,black
котлета,168,48,#262676
живот,165,519,#fb322e
жалость,164,97,#f88be7
хвоя,163,158,black
р,151,54,black
головка,151,41,#4d735f
рукопожатие,150,364,#41979c
слюна,145,43,#7ae075
н,145,626,black
воспоминание,140,6346,#87c687
ухо,134,218,#ff6540
пойло,130,520,#e777fb
ручеек,129,164,black
улыбка,125,3638,#fb18c9
звук,125,331,#c50ed8
асфальтобетон,123,149,black
доска,123,433,#ff6540
нос,122,183,black
бурда,122,106,#e777fb
шапка,121,5189,#87c687
контакт,120,44,#1783a3
фраза,120,83,#1e552d
фронт,119,7528,#7235ba
сталь,118,59,#0b5e0b
зерно,117,386,#d16350
висок,117,56,black
сон,116,752,#a6c5ab
бедро,113,115,black
заступник,112,293,#16d6df
крыша,110,485,black
салфетка,107,61,#7a1cc2
кольцо,107,61,#eddf34
яйцо,106,337,#d16350
эфир,106,84,#0b5e0b
мука,103,252,#0b5e0b
я,101,40,#16d6df
броня,100,74,#0b5e0b
они,100,41,black
счастие,99,173,black
морда,97,537,black
ливень,95,1264,#0b5e0b
буханка,95,130,#3ae25b
тишина,94,942,#a9a4c4
колено,92,546,#4b4eb5
женщина,79,78,#16d6df
лист,79,160,#c840b4
пол,79,800,#7235ba
слезинка,78,105,black
долина,77,906,#7235ba
пустота,75,60,#7235ba
мрак,75,416,#5b78cd
родник,75,131,#30dfbe
движение,74,122,#4b4eb5
капот,73,290,black
покрытие,73,45,#6ba899
высказывание,72,46,#87c687
капелька,72,98,#16d6df
батарея,72,650,#674cde
мгла,72,781,#5b78cd
нутро,71,246,#7235ba
пиво,71,934,#e777fb
полотенце,71,195,#c07f4a
пожатие,71,195,black
энергия,70,98,black
парок,70,179,black
пена,69,118,#0b5e0b
осень,69,6264,#59d0cc
тесто,68,95,#0b5e0b
ручей,68,540,#55145b
теснота,68,82,#ca4190
страница,67,428,#dee22a
проводы,67,393,#080384
берег,67,511,#7235ba
уважение,67,55,#e6df7a
аромат,67,768,#7d2f8c
красота,66,59,black
п,65,158,black
ручонка,64,123,black
ощущение,64,219,#05e6d8
костер,64,53,#7235ba
затылок,64,46,#7235ba
глина,64,172,#0b5e0b
переписка,63,62,#3507f0
жижа,63,211,#7ae075
сок,63,419,#e777fb
радиатор,63,69,#533a8d
море,63,19266,#057b90
скала,62,42,#7235ba
шерсть,61,759,#0b5e0b
город,61,413,#7235ba
водица,60,603,black
плоть,59,578,#0b5e0b
локоть,59,113,#2ab436
грусть,59,693,#f88be7
тельце,59,624,#0b5e0b
брызги,58,182,#0b5e0b
воз,58,40,#b0e524
пальчик,58,66,black
трепет,57,54,#f88be7
перо,57,137,#e050a0
лоно,57,139,black
вагон,57,771,#b0e524
булка,57,139,#3ae25b
июль,56,164,#3f2904
игла,56,45,#356f21
она,55,587,black
отблеск,55,217,black
трубка,55,105,#ff6540
блик,54,249,#3b788a
печурка,54,180,#533a8d
влажность,54,155,black
вонь,54,43,black
отделение,54,51,#c91856
испарина,54,120,#0b5e0b
истома,53,194,#05e6d8
синева,53,314,#67af29
круг,53,150,#bfb6d1
закат,52,144,#3b788a
роса,52,472,#0b5e0b
машина,52,374,#b0e524
ребята,52,309,black
регион,52,94,#7235ba
испарение,52,383,#0b5e0b
печень,52,55,black
песочек,51,264,black
юг,51,1545,#7235ba
мир,51,638,#3507f0
шум,50,65,#eede92
простыня,50,57,#7bd8ca
речка,49,234,#55145b
сырость,49,1086,black
ноздря,49,146,black
дерево,49,585,#0b5e0b
листва,48,109,black
начало,48,103,#62b5af
строчка,48,67,#28d6a6
крыло,48,607,black
горло,48,42,black
пистолет,47,70,#a1aa15
гора,47,44,#7235ba
обращение,47,152,#d021f5
духота,47,45,#904b62
дно,46,80,black
солома,46,354,#2b7f5f
лежанка,46,1566,#7235ba
край,46,13625,#7235ba
тропинка,46,47,#7235ba
компот,45,48,#e777fb
кусочек,44,62,black
грунт,44,60,#0b5e0b
сквозняк,44,77,#904b62
взор,44,82,#e9c660
материя,43,119,#0b5e0b
въры,43,40,black
храп,43,45,#7235ba
глубина,43,315,#692827
песня,43,43,#eede92
послание,42,243,#87c687
