noun,syroj,mokryj,colour,code
варежка,10,147,#547d5b,tool:cloth
ведро,10,147,#6ac6d4,unit
псина,10,144,#20d0a8,smell
башмак,10,143,#efdb0b,tool
ворон,10,143,#3c1f72,animal
ладошка,10,142,black,other
зад,10,141,#a55a3a,space
накидка,10,141,#f1774a,tool:@bedding/linen
шуба,10,140,#28c8d9,hair$
волочение,10,140,black,other
мышь,10,140,#3c1f72,animal
доспехи,10,139,black,other
настил,10,138,#928a92,constr:настил
пепел,10,136,#b584b2,stuff
подбородок,10,136,black,other
круг,10,136,#10c929,form
столб,10,135,#bc5b0a,constr
фартук,10,134,#efdb0b,tool
панель,10,131,#efdb0b,tool
пилотка,10,129,#547d5b,tool:cloth
прессование,10,129,black,other
сарафан,10,128,#547d5b,tool:cloth
тарелка,10,128,#5248aa,tool:mus
май,10,127,#b7316e,time:month
телогрейка,10,127,#547d5b,tool:cloth
капюшон,10,125,#547d5b,tool:cloth
пятнышко,10,125,black,other
выпадение,10,124,black,other
клочок,10,123,black,other
узел,10,122,#efdb0b,tool
носик,10,122,black,other
крапива,10,122,#be10f4,plant
валун,10,121,#1a3e5e,stone
бинт,10,121,#efdb0b,tool
дождь,10,121,#37d248,weather
ложка,10,115,#5248aa,tool:mus
месиво,10,115,#5a143d,stuff/food:fodder
отделка,10,114,#60bdd3,impact
стакан,10,114,#663eb1,tool:dish
круп,10,114,#82cd77,disease
площадь,10,114,#37ad14,room/space
прядка,10,113,black,other
дробление,10,113,black,other
вихор,10,112,#10c929,form
огорожа,10,112,black,other
одежа,10,112,black,other
войлок,10,112,#b584b2,stuff
ступня,10,110,black,other
полотнище,10,110,black,other
скука,10,109,#4aed5d,psych:emot
закладка,10,109,#efdb0b,tool
днище,10,108,black,other
перчатка,10,105,#8bd548,tool/tool:cloth$
кашель,10,105,#82cd77,disease
портки,10,104,#547d5b,tool:cloth
печать,10,104,#0512ee,sign
снимок,10,104,#915c8a,workart
мордочка,10,103,black,other
подоконник,10,102,black,other
мочалка,10,101,#efdb0b,tool
сквер,10,101,#a55a3a,space
косица,10,100,black,other
папоротник,10,99,black,other
шлепок,10,99,#60bdd3,impact
смешение,10,98,black,other
сосулька,10,98,black,other
лента,10,97,#4c1fab,workcin
затылок,10,97,#a55a3a,space
прилавок,10,97,#bf18ef,tool:furn$
глазок,10,96,#a55a3a,space
полынь,10,96,#be10f4,plant
щебень,10,96,#b584b2,stuff
кровля,10,96,black,other
обмундирование,10,96,black,other
бредень,10,96,#efdb0b,tool
подштанники,10,95,#547d5b,tool:cloth
парусина,10,95,#b584b2,stuff
минерализация,10,94,black,other
улавливание,10,93,black,other
труба,10,93,#5248aa,tool:mus
живот,10,93,#4fe8b7,be:exist
шкот,10,92,black,other
мелочь,10,92,black,other
мыло,10,92,#b584b2,stuff
мир,10,91,#770e03,inter
стойка,10,91,#42c616,tool:furn
огонь,10,90,#b9456e,manif:disease
лужок,10,89,#a55a3a,space
солнце,10,89,#a55a3a,space
ватка,10,89,#b584b2,stuff
очки,10,87,#efdb0b,tool
окошко,10,86,#f943c5,tool/space
пудель,10,86,#3c1f72,animal
колесо,10,86,#8d30a9,tool:transp
фотография,10,84,#26f855,org
иван,10,84,black,other
онуча,10,82,#547d5b,tool:cloth
осаждение,10,81,black,other
джинсы,10,81,#547d5b,tool:cloth
гумно,10,80,#281004,space/constr
рыло,10,79,black,other
операция,10,79,#0d518d,action
челка,10,78,#7f3593,hair
кручение,10,78,black,other
зазимок,10,78,#b584b2,stuff
щит,10,76,#a55a3a,space
зуб,10,76,#efdb0b,tool
обеспыливание,10,75,black,other
усик,10,75,#7f3593,hair
пряник,10,74,#f413a3,food/изделие
пурга,10,73,#37d248,weather
шлепка,10,73,black,other
рванье,10,73,#fc1557,impact:нарушение целостности
афиша,10,72,#99d6fc,text
сорочка,10,72,#547d5b,tool:cloth
метелица,10,72,#37d248,weather
все,10,71,black,other
гильза,10,71,black,other
телеграмма,10,70,#99d6fc,text
локон,10,69,#2420af,hair/form
золоулавливание,10,69,black,other
кисточка,10,68,black,other
пожня,10,68,#5a3278,space/plot
душонка,10,68,black,other
провизия,10,68,#3f2ae1,food
покрытие,10,67,#8802ef,stuff/tool
осока,10,66,#be10f4,plant
камешек,10,66,black,other
ухо,10,65,#efdb0b,tool
поручень,10,65,#efdb0b,tool
жижа,10,64,#407762,stuff/liq
хруст,10,64,#6329da,sound
тюк,10,64,#efdb0b,tool
холм,10,64,#a55a3a,space
пашня,10,64,#5a3278,space/plot
полог,10,64,#efdb0b,tool
конница,10,64,#7684f1,group
листочек,10,63,black,other
плеть,10,63,#bc5b0a,constr
котенок,10,63,#2ba0bd,hum$
плетень,10,63,#bc5b0a,constr
чай,10,61,#8f3c7b,stuff/food/liq
консервация,10,61,black,other
слеза,10,61,#b584b2,stuff
кот,10,60,#2ba0bd,hum$
травинка,10,60,#be10f4,plant
амуниция,10,60,black,other
мяч,10,59,#efdb0b,tool
дрань,10,59,black,other
охотник,10,59,#e0f506,hum
паутина,10,59,#b584b2,stuff
толпа,10,59,#7684f1,group
столик,10,59,#42c616,tool:furn
ветошь,10,59,black,other
крыса,10,59,#3c1f72,animal
перышко,10,59,#28c8d9,hair$
бушлат,10,58,#547d5b,tool:cloth
слива,10,58,#be10f4,plant
регенерация,10,57,#d48798,impact:creat
звезда,10,57,#2ee668,sign/form
развод,10,57,#be9528,inter:прекращение
одежонка,10,57,black,other
трос,10,57,#efdb0b,tool
сероочистка,10,57,black,other
свитер,10,56,#547d5b,tool:cloth
сосок,10,56,black,other
шаровары,10,56,#547d5b,tool:cloth
свет,10,55,#e0f506,hum
соус,10,55,#b584b2,stuff
солдат,10,55,#e0f506,hum
калоша,10,55,black,other
мол,10,54,#bc5b0a,constr
столица,10,54,#a55a3a,space
шина,10,54,#efdb0b,tool
трус,10,54,#e0f506,hum
трясина,10,54,#a55a3a,space
пакет,10,54,#efdb0b,tool
космос,10,53,#a55a3a,space
кашица,10,53,#b584b2,stuff
трикотаж,10,53,black,other
васька,10,52,black,other
башмачок,10,52,black,other
лоза,10,52,#10c929,form
пылеподавление,10,52,black,other
броня,10,51,#b584b2,stuff
верхушка,10,51,#b87649,ment
узелок,10,51,black,other
сидение,10,51,black,other
тонкошея,10,51,black,other
березка,10,51,black,other
перекладина,10,51,#efdb0b,tool
ромашка,10,51,#b584b2,stuff
личико,10,51,black,other
отражение,10,51,#247780,ment?
труп,10,50,black,other
башлык,10,50,#547d5b,tool:cloth
девочка,10,50,#e13605,animal$
нитка,10,50,#10c929,form
пряжа,10,50,#b584b2,stuff
ракита,10,50,#be10f4,plant
козырек,10,49,black,other
жгут,10,48,#efdb0b,tool
шлепанье,10,48,black,other
карман,10,48,#a55a3a,space
компресс,10,48,#efdb0b,tool
хром,10,48,#b584b2,stuff
рюмка,10,48,#663eb1,tool:dish
парк,10,48,#26f855,org
девка,10,48,#e0f506,hum
ветошка,10,47,black,other
щебенка,10,47,#b584b2,stuff
стук,10,47,#822b21,sound:@asp
извозчик,10,47,#5db35f,hum/prof
пасть,10,47,black,other
роба,10,47,#547d5b,tool:cloth
кнут,10,47,black,other
хребет,10,47,#a55a3a,space
подмышка,10,46,#a55a3a,space
стог,10,46,black,other
рубашонка,10,46,black,other
наст,10,46,#b584b2,stuff
прах,10,46,#b584b2,stuff
завиток,10,46,#2420af,hair/form
висок,10,46,black,other
набережная,10,46,#a55a3a,space
валежин,10,45,black,other
камыш,10,45,#a55a3a,space
опорок,10,45,black,other
торец,10,45,#a55a3a,space
кабинка,10,45,black,other
травка,10,45,#b584b2,stuff
пяток,10,45,black,other
бутылочка,10,44,black,other
центифолия,10,44,black,other
комбинезон,10,44,#547d5b,tool:cloth
порт,10,44,#26f855,org
рюкзак,10,44,#efdb0b,tool
коленка,10,44,black,other
прикосновение,10,44,#1b54e1,контакт
голубь,10,44,#2ba0bd,hum$
подошва,10,44,#a55a3a,space
поршень,10,44,black,other
шнур,10,43,#efdb0b,tool
лепесток,10,43,#10c929,form
цепь,10,43,#10c929,form
отрепье,10,43,black,other
цыпленок,10,43,#3c1f72,animal
кошелек,10,43,#efdb0b,tool
собачонка,10,42,black,other
глыба,10,42,#1a3e5e,stone
капитан,10,42,#e0f506,hum
падь,10,42,black,other
куртина,10,42,#bc5b0a,constr
чемодан,10,42,#efdb0b,tool
пучок,10,42,black,other
сноп,10,42,black,other
чекмень,10,42,#547d5b,tool:cloth
лог,10,42,#a55a3a,space
косынка,10,41,#547d5b,tool:cloth
сдача,10,41,#770e03,inter
спица,10,41,black,other
кофта,10,41,#547d5b,tool:cloth
трап,10,41,#efdb0b,tool
власы,10,40,#7f3593,hair
письмо,10,40,#01c659,asp
брюхо,10,40,#a55a3a,space
локоть,10,40,#6ac6d4,unit
сетка,10,40,#efdb0b,tool
зеркало,10,40,#37026f,param$
