noun,vlazhnyj,mokryj,colour,code
метод,152,1047,black,other
власы,151,40,#d30a63,hair
кусок,151,271,black,other
голова,151,3840,#ed5c19,hum
хвоя,149,372,black,other
ватка,148,89,#555aa4,stuff
огонь,147,90,#94836b,manif:disease
комок,145,387,black,other
утро,144,156,#a48547,action
прах,143,46,#555aa4,stuff
мостовая,142,1655,#2e58bf,space
кисть,142,219,#f71b76,food
мир,133,91,#3898a7,inter
бок,131,1099,#2e58bf,space
ладошка,128,142,black,other
хруст,127,64,#a166fe,sound
комочек,126,202,black,other
сад,125,917,#94eec9,org
заросль,124,187,#2e58bf,space
пласт,123,52,black,other
рубашка,122,1569,#555aa4,stuff
край,122,250,#2e58bf,space
солнце,117,89,#2e58bf,space
угол,114,254,#2e58bf,space
грязь,107,818,#555aa4,stuff
табак,106,71,#78a304,plant
доска,102,2356,#51e41b,tool
тяжесть,98,69,#291491,thing
пасть,98,47,black,other
постель,96,226,#f55917,tool:@bedding
отпечаток,96,145,#2e58bf,space
рельс,95,379,#51e41b,tool
тропинка,94,162,#2e58bf,space
луговина,88,41,#2e58bf,space
воротник,86,152,black,other
ветошь,85,59,black,other
шинель,84,2117,#2fc8f3,tool:cloth
лед,79,389,#555aa4,stuff
даль,78,46,#2e58bf,space
кисточка,77,68,black,other
дол,75,298,#2e58bf,space
скамья,74,400,#c47afc,tool:furn/tool
штукатурка,73,671,#555aa4,stuff
поручень,73,65,#51e41b,tool
тропа,72,202,#2e58bf,space
щетка,72,435,#51e41b,tool
подушка,70,619,#51e41b,tool
глыба,68,42,#bb75c7,stone
очистка,67,2215,#b903db,changest
пашня,66,64,#b984cc,space/plot
ус,65,1709,#d30a63,hair
плечо,65,825,#2e58bf,space
борода,65,1086,#d30a63,hair
весло,63,338,#251476,tool:instr
яма,62,154,#d7f237,room/constr:@build
отходы,60,110,black,other
веник,59,607,#251476,tool:instr
он,58,193,#479508,hum:kin$/hum
окисление,58,291,black,other
клок,57,162,black,other
платье,57,3101,#2fc8f3,tool:cloth
путь,57,1407,#9ea46b,asp
портянка,56,905,#2fc8f3,tool:cloth
чуб,55,313,#d30a63,hair
носик,54,122,black,other
пятнышко,53,125,black,other
висок,52,46,black,other
столб,52,135,#e07e5e,constr
бровь,52,183,black,other
брезент,51,946,#555aa4,stuff
палуба,51,1212,#f4a2dc,constr:настил
плащ,50,2786,#2fc8f3,tool:cloth
улица,49,2046,#2e58bf,space
крыло,47,406,black,other
снежок,47,588,#51e41b,tool
затылок,46,97,#2e58bf,space
она,45,46,black,other
снежинка,45,286,black,other
скамейка,45,689,#c47afc,tool:furn/tool
щебень,45,96,#555aa4,stuff
пень,45,41,#ed5c19,hum
локон,45,69,#6e4398,hair/form
паутина,44,59,#555aa4,stuff
сукно,43,227,#555aa4,stuff
сеть,43,1109,#51e41b,tool
газета,42,356,#6c4b66,text/media
перила,41,146,#51e41b,tool
ягода,41,49,#ed5c19,hum
конец,41,279,#0d544c,be:disapp
листочек,41,63,black,other
навоз,40,144,#555aa4,stuff
листок,40,75,#3f5d54,doc
климат,37088,10,#67599b,asp:weather
субтропики,15419,10,#2e58bf,space
камера,14947,10,#2e58bf,space
атмосфера,8916,10,#d55280,unit
период,7887,10,#17263d,text
среда,7320,10,#2e58bf,space
район,6494,10,#2e58bf,space
тропики,5917,10,#2e58bf,space
хрип,5267,10,#a166fe,sound
материал,4238,10,#555aa4,stuff
местообитание,4137,10,black,other
зона,3907,10,#2e58bf,space
сезон,3219,10,#1b98c1,time:period
мешанка,2310,10,black,other
газ,2045,10,#555aa4,stuff
прохлада,1976,10,#a1f05d,temper
дыхание,1936,10,#41e903,physiol
вес,1711,10,#3d6b53,param
область,1622,10,#2e58bf,space
кислород,1346,10,#555aa4,stuff
корм,1315,10,#48fa4f,food:fodder
тепло,1253,10,#f8ddf2,psych:emot
водород,1205,10,#555aa4,stuff
осадок,1193,10,#555aa4,stuff
семя,1157,10,#555aa4,stuff
конвекция,1094,10,black,other
биотоп,1045,10,black,other
эфир,1034,10,#555aa4,stuff
горизонт,996,10,#2e58bf,space
эпоха,994,10,#95aedb,time:age/time:period
смесь,990,10,#555aa4,stuff
духота,987,10,#f6d59c,weather
взгляд,975,10,#04a42e,ment
ветерок,967,10,black,other
субстрат,914,10,#555aa4,stuff
жара,901,10,#2e58bf,space
фаза,900,10,black,other
окись,865,10,#555aa4,stuff
продукт,797,10,#f71b76,food
порода,765,10,#555aa4,stuff
месяц,763,10,#11daba,space/astr
уста,709,10,black,other
горение,698,10,black,other
взор,657,10,#28f10f,ment?
долина,597,10,#2e58bf,space
испарение,557,10,#555aa4,stuff
саванна,526,10,#2e58bf,space
дымка,520,10,#555aa4,stuff
стация,509,10,black,other
жар,505,10,#f8ddf2,psych:emot
топливо,500,10,#555aa4,stuff
проба,500,10,#555aa4,stuff
дезинфекция,481,10,#b903db,changest
ущелие,479,10,black,other
дым,467,10,#555aa4,stuff
адиабата,455,10,black,other
теплота,445,10,#a1f05d,temper
гангрена,437,10,black,other
муссон,424,10,#f6d59c,weather
вариант,420,10,#17263d,text
местность,400,10,#2e58bf,space
тишина,392,10,#cf1078,sound/neg
дезинсекция,391,10,#0d544c,be:disapp
тампон,390,10,#51e41b,tool
глубина,370,10,#12ecfb,degr
хлор,365,10,#555aa4,stuff
микроклимат,351,10,#67599b,asp:weather
частица,348,10,black,other
пространство,347,10,#2e58bf,space
остаток,339,10,black,other
кормосмесь,338,10,black,other
понижение,332,10,black,other
корма,329,10,#2e58bf,space
пояс,328,10,#2e58bf,space
осадки,325,10,#555aa4,stuff
вещество,323,10,#555aa4,stuff
роза,317,10,#9d3e6f,workart
глава,314,10,#ed5c19,hum
хлопок,292,10,#8b4e0a,impact
шум,291,10,#a166fe,sound
порошок,290,10,#555aa4,stuff
дубрава,290,10,#2e58bf,space
дефицит,278,10,#291491,thing
р,269,10,black,other
стихия,261,10,#f6d59c,weather
поток,252,10,#2b5fa4,group
мутность,244,10,black,other
шорох,242,10,#a166fe,sound
чернозем,242,10,#555aa4,stuff
страна,238,10,#2e58bf,space
аромат,235,10,#e527c6,smell
шихта,222,10,#555aa4,stuff
шелест,220,10,#a166fe,sound
бог,218,10,#861d3d,hum:supernat
бор,207,10,#555aa4,stuff
пара,206,10,#c7e5d3,schoolmark
субори,205,10,black,other
зной,205,10,#efb3dd,weather/temper
руда,204,10,#555aa4,stuff
рифма,202,10,black,other
кристалл,202,10,black,other
око,202,10,black,other
сырье,199,10,black,other
высокогорье,196,10,black,other
дух,195,10,#e527c6,smell
волна,188,10,#63d3ff,manif
азот,184,10,#555aa4,stuff
ложе,182,10,#2e58bf,space
борозда,179,10,#2e58bf,space
покров,176,10,#f55917,tool:@bedding
синева,175,10,#7b58c0,color
лужайка,172,10,#2e58bf,space
неустойчивость,164,10,black,other
боры,159,10,black,other
джунгли,156,10,#2e58bf,space
равнина,149,10,#2e58bf,space
концентрат,145,10,#555aa4,stuff
лапка,141,10,#01baa7,sign
объект,141,10,#291491,thing
налет,141,10,#1c8413,дополнитель
материя,136,10,#555aa4,stuff
тропич,133,10,black,other
эпидермит,132,10,black,other
гранула,127,10,black,other
ельник,127,10,#555aa4,stuff
природа,126,10,#2e58bf,space
паста,125,10,#555aa4,stuff
бензол,122,10,#1118a0,stuff/liq
сырость,121,10,black,other
клетка,121,10,#51e41b,tool
сдвиг,119,10,#8197da,move
биомасса,119,10,black,other
обстановка,117,10,black,other
обтирание,116,10,black,other
злак,115,10,#78a304,plant
твердение,113,10,black,other
территория,113,10,#2e58bf,space
шепот,111,10,#a166fe,sound
смола,110,10,#ed5c19,hum
хлад,109,10,#f6d59c,weather
кукуруза,108,10,#78a304,plant
чело,106,10,#2e58bf,space
недра,105,10,#2e58bf,space
пары,105,10,black,other
струя,105,10,#1f0221,?
мицелий,104,10,black,other
осыпь,104,10,#555aa4,stuff
сероводород,102,10,#555aa4,stuff
отблеск,102,10,black,other
воз,98,10,#a02574,tool:transp
низменность,96,10,#2e58bf,space
суборя,94,10,black,other
супесь,93,10,#555aa4,stuff
обеззараживание,91,10,black,other
растение,90,10,#78a304,plant
лесостепь,88,10,#2e58bf,space
вздох,87,10,#41e903,physiol
местоположение,86,10,#e52a7d,loc
шкурка,85,10,#555aa4,stuff
пастбище,84,10,#2e58bf,space
гель,83,10,#555aa4,stuff
аргон,82,10,#555aa4,stuff
лоно,82,10,black,other
крахмал,81,10,#555aa4,stuff
разнотравье,81,10,black,other
ворох,81,10,#92b011,quant:max
визг,80,10,#a166fe,sound
оттиск,79,10,#17263d,text
целлюлоза,78,10,#555aa4,stuff
рытвина,77,10,#2e58bf,space
экотоп,76,10,black,other
некроз,75,10,black,other
кокс,75,10,#555aa4,stuff
обертывание,74,10,black,other
поляна,73,10,#2e58bf,space
мякоть,73,10,#555aa4,stuff
шар,73,10,#e2beb4,form
улыбка,73,10,#7d1f52,manif:emot
труха,72,10,#555aa4,stuff
укутывание,72,10,black,other
фракционирование,72,10,black,other
осадка,71,10,#3d6b53,param
западина,69,10,black,other
луч,68,10,#2e58bf,space
сорбент,67,10,black,other
прель,67,10,black,other
поволока,66,10,#9b5bd0,внешний вид
ложбина,65,10,#2e58bf,space
серебро,65,10,#555aa4,stuff
струна,64,10,#51e41b,tool
лик,64,10,#9b5bd0,внешний вид
аэрозоль,64,10,black,other
гул,64,10,#a166fe,sound
лягушка,63,10,#85458d,animal
полумрак,63,10,#210adb,light
кончик,62,10,black,other
распев,61,10,black,other
аммиак,61,10,#555aa4,stuff
звездочка,60,10,#ed5c19,hum
котловина,59,10,#2e58bf,space
отложение,59,10,#555aa4,stuff
белизна,59,10,#7b58c0,color
характер,58,10,black,other
сторона,56,10,#539b7e,asp:ment
слово,55,10,#17263d,text
сосняк,54,10,#2e58bf,space
смерть,54,10,#92b011,quant:max
сила,54,10,#92b011,quant:max
начало,53,10,#9ea46b,asp
н,53,10,black,other
сок,53,10,#8ab550,stuff/food/liq
бездна,52,10,#92b011,quant:max
гранка,52,10,#17263d,text
пища,52,10,#f71b76,food
побережье,52,10,#2e58bf,space
капля,52,10,black,other
плоть,51,10,#555aa4,stuff
валок,50,10,black,other
нить,50,10,#e2beb4,form
предгорие,50,10,black,other
дуновение,50,10,#8197da,move
отмель,49,10,#2e58bf,space
известь,49,10,#555aa4,stuff
сияние,48,10,#210adb,light
теплынь,48,10,#a1f05d,temper
впадина,47,10,#2e58bf,space
шлам,47,10,black,other
сквозняк,47,10,#f6d59c,weather
жир,47,10,#555aa4,stuff
золото,46,10,#ed5c19,hum
печаль,46,10,#f8ddf2,psych:emot
муть,46,10,#555aa4,stuff
волокно,46,10,#555aa4,stuff
початок,46,10,#2b5810,fruit/food
испарина,45,10,#555aa4,stuff
дерн,45,10,black,other
заря,44,10,#a166fe,sound
пустыня,44,10,#2e58bf,space
красота,43,10,black,other
пальчик,43,10,black,other
стезя,43,10,#2e58bf,space
тропик,43,10,#2e58bf,space
белок,42,10,#16491c,stuff/thing
трубка,42,10,#51e41b,tool
ручка,42,10,#251476,tool:instr
сыр,42,10,#a1af6d,stuff/food/изделие
предмет,42,10,#04a42e,ment
марево,42,10,#555aa4,stuff
биение,41,10,#30e075,physiol?
груда,41,10,#92b011,quant:max
пойма,41,10,#2e58bf,space
нимфа,41,10,#861d3d,hum:supernat
мрамор,41,10,#555aa4,stuff
краска,41,10,#8b4e0a,impact
шарик,40,10,#85458d,animal
курица,10,6331,#f71b76,food
дело,10,4713,#94eec9,org
нога,10,3671,black,other
помол,10,2304,#8b4e0a,impact
гниль,10,2256,#6559ee,stuff/food
сапог,10,2165,#8a2b09,tool:cloth:@boot
обогащение,10,2114,black,other
озоление,10,1876,black,other
сжигание,10,1789,black,other
штаны,10,1727,#2fc8f3,tool:cloth
тротуар,10,1697,#2e58bf,space
рубаха,10,1642,#2fc8f3,tool:cloth
головня,10,1552,#291491,thing
процесс,10,1504,#94836b,manif:disease
мешок,10,1267,#ed5c19,hum
измельчение,10,1210,black,other
бревно,10,1134,#51e41b,tool
прядение,10,1092,#47a12a,impact:creat
пальто,10,1066,#2fc8f3,tool:cloth
пеленка,10,1012,#4e5f9a,linen
золоуловитель,10,977,black,other
человек,10,943,#ed5c19,hum
рукав,10,901,#51e41b,tool
валенок,10,863,#8a2b09,tool:cloth:@boot
сожжение,10,858,#4e2fc3,impact:destr
ботинок,10,850,#8a2b09,tool:cloth:@boot
пылеуловитель,10,836,black,other
хвост,10,834,#ed5c19,hum
зонтик,10,758,#51e41b,tool
веревка,10,738,#51e41b,tool
подол,10,738,black,other
собака,10,699,#85458d,animal
лавина,10,695,#92b011,quant:max
бурение,10,689,black,other
брюки,10,665,#2fc8f3,tool:cloth
шапка,10,659,#17263d,text
окно,10,651,#297e92,time
шоссе,10,635,#2e58bf,space
обувь,10,627,black,other
булыжник,10,574,#bb75c7,stone
носок,10,569,#2fc8f3,tool:cloth
скруббер,10,568,black,other
электрофильтр,10,556,black,other
забор,10,552,#1a378e,poss
трусы,10,552,#2fc8f3,tool:cloth
галка,10,549,#85458d,animal
газоочистка,10,538,black,other
размол,10,530,#1b01f1,impact:деление на части
просеивание,10,525,black,other
петух,10,520,#a6109a,hum$
смородина,10,519,#78a304,plant
лошадь,10,512,#a6109a,hum$
чулок,10,500,#2c3971,форма
сепарация,10,481,black,other
канат,10,475,#51e41b,tool
швабра,10,460,#251476,tool:instr
тушение,10,451,black,other
шляпа,10,439,#ed5c19,hum
платформа,10,439,#2e58bf,space
химия,10,430,#956d86,weather?
ступень,10,428,#a166fe,sound
гимнастерка,10,426,#2fc8f3,tool:cloth
откос,10,425,#51e41b,tool
юбка,10,424,#ed5c19,hum
железо,10,412,#555aa4,stuff
куртка,10,412,#2fc8f3,tool:cloth
метель,10,406,#f6d59c,weather
плита,10,401,#2e58bf,space
ворона,10,395,#a6109a,hum$
пиджак,10,391,#2fc8f3,tool:cloth
болото,10,384,#2e58bf,space
снегопад,10,381,#f6d59c,weather
дрова,10,374,black,other
ступенька,10,374,black,other
перрон,10,362,#4a1648,constr/space
тряпье,10,361,black,other
туфля,10,357,black,other
брусчатка,10,355,#2e58bf,space
лапа,10,354,black,other
купальник,10,352,#2fc8f3,tool:cloth
перо,10,350,#251476,tool:instr
работа,10,349,#5f15e2,workart/workmus/workdram/workcin/text
самоизмельчение,10,344,black,other
фуражка,10,332,#2fc8f3,tool:cloth
забой,10,327,#8b4e0a,impact
грохочение,10,321,black,other
стол,10,310,#2e58bf,space
окоп,10,298,#7b3a09,space/constr
каша,10,297,#04a42e,ment
зонт,10,295,#51e41b,tool
сосна,10,294,#78a304,plant
картуз,10,291,#51e41b,tool
гравий,10,288,#555aa4,stuff
формование,10,287,black,other
пылеулавливание,10,285,black,other
катализ,10,267,black,other
ватник,10,265,#2fc8f3,tool:cloth
конь,10,262,#51e41b,tool
классификация,10,259,#04a42e,ment
посол,10,259,#ed5c19,hum
одеяло,10,252,#f55917,tool:@bedding
солонец,10,251,black,other
коса,10,248,#2e58bf,space
скатерть,10,247,#4e5f9a,linen
метла,10,246,#251476,tool:instr
сук,10,245,black,other
вещь,10,241,#5f15e2,workart/workmus/workdram/workcin/text
шлифовка,10,234,black,other
платочек,10,232,black,other
трение,10,231,#3898a7,inter
полено,10,230,black,other
веревочка,10,228,black,other
майка,10,226,#2fc8f3,tool:cloth
двор,10,223,#94eec9,org
клеенка,10,223,#555aa4,stuff
город,10,222,#2e58bf,space
гранит,10,222,#555aa4,stuff
цех,10,221,#94eec9,org
костюм,10,221,#2fc8f3,tool:cloth
кулак,10,220,#ed5c19,hum
бурьян,10,217,#2e58bf,space
кустарник,10,217,#78a304,plant
мех,10,216,#555aa4,stuff
невод,10,214,#51e41b,tool
рукавица,10,212,#2fc8f3,tool:cloth
рожь,10,212,#3607a5,fruit
лохмотья,10,207,black,other
лапоть,10,207,#8a2b09,tool:cloth:@boot
колено,10,206,#8197da,move
теленок,10,206,#85458d,animal
парус,10,204,#51e41b,tool
воробей,10,203,#85458d,animal
траншея,10,202,#7b3a09,space/constr
шкура,10,197,#ed5c19,hum
трусики,10,196,#2fc8f3,tool:cloth
овчина,10,196,#555aa4,stuff
мосток,10,193,black,other
штанишки,10,193,black,other
рассев,10,193,black,other
окурок,10,193,#291491,thing
фигура,10,192,#ed5c19,hum
плавки,10,191,#2fc8f3,tool:cloth
борт,10,190,#2e58bf,space
кепка,10,185,#2fc8f3,tool:cloth
газгольдер,10,183,black,other
рогожа,10,183,#555aa4,stuff
вьюга,10,182,#f6d59c,weather
глянец,10,181,#22299f,light/внешний вид
водоросль,10,181,#78a304,plant
флаг,10,179,#939112,sign:знамя
сахар,10,179,#555aa4,stuff
прут,10,178,#291491,thing
шлифование,10,176,black,other
вода,10,176,#1118a0,stuff/liq
полушубок,10,175,#2fc8f3,tool:cloth
лысина,10,174,#2e58bf,space
космы,10,169,#d30a63,hair
кура,10,165,#85458d,animal
бульвар,10,165,#2e58bf,space
кочка,10,165,#2e58bf,space
грануляция,10,164,#956d86,weather?
дождевик,10,164,#2fc8f3,tool:cloth
аллея,10,164,#2e58bf,space
рост,10,162,#dfd707,physiol/param
щенок,10,160,#a6109a,hum$
тополь,10,159,#78a304,plant
бумажка,10,157,#9d2a5a,money:banknote
холст,10,156,#555aa4,stuff
береза,10,156,#78a304,plant
халат,10,155,#2fc8f3,tool:cloth
шерстка,10,155,black,other
пес,10,155,#a6109a,hum$
грива,10,152,#2e58bf,space
кошка,10,152,#85458d,animal
ковер,10,151,#555aa4,stuff
тельце,10,151,#555aa4,stuff
птица,10,150,#a6109a,hum$
штанина,10,148,black,other
варежка,10,147,#2fc8f3,tool:cloth
ведро,10,147,#d55280,unit
дом,10,144,#94eec9,org
псина,10,144,#e527c6,smell
башмак,10,143,#51e41b,tool
ворон,10,143,#85458d,animal
зад,10,141,#2e58bf,space
накидка,10,141,#12a82f,tool:@bedding/linen
палатка,10,140,#e07e5e,constr
шуба,10,140,#b2fa07,hair$
волочение,10,140,black,other
мышь,10,140,#85458d,animal
доспехи,10,139,black,other
настил,10,138,#f4a2dc,constr:настил
пепел,10,136,#555aa4,stuff
подбородок,10,136,black,other
круг,10,136,#e2beb4,form
фартук,10,134,#51e41b,tool
панель,10,131,#51e41b,tool
пилотка,10,129,#2fc8f3,tool:cloth
сарафан,10,128,#2fc8f3,tool:cloth
тарелка,10,128,#7bbf56,tool:mus
май,10,127,#c721f0,time:month
телогрейка,10,127,#2fc8f3,tool:cloth
капюшон,10,125,#2fc8f3,tool:cloth
клочок,10,123,black,other
узел,10,122,#51e41b,tool
крапива,10,122,#78a304,plant
валун,10,121,#bb75c7,stone
бинт,10,121,#51e41b,tool
дождь,10,121,#f6d59c,weather
кирпич,10,116,#01baa7,sign
ложка,10,115,#7bbf56,tool:mus
месиво,10,115,#fbbffd,stuff/food:fodder
отделка,10,114,#8b4e0a,impact
стакан,10,114,#a42986,tool:dish
круп,10,114,#28ffb7,disease
площадь,10,114,#55c5b2,room/space
прядка,10,113,black,other
дробление,10,113,black,other
вихор,10,112,#e2beb4,form
огорожа,10,112,black,other
копна,10,112,black,other
одежа,10,112,black,other
войлок,10,112,#555aa4,stuff
лестница,10,111,#e07e5e,constr
ступня,10,110,black,other
полотнище,10,110,black,other
скука,10,109,#f8ddf2,psych:emot
закладка,10,109,#51e41b,tool
днище,10,108,black,other
перчатка,10,105,#063d65,tool/tool:cloth$
портки,10,104,#2fc8f3,tool:cloth
печать,10,104,#01baa7,sign
снимок,10,104,#9d3e6f,workart
резина,10,103,#555aa4,stuff
мордочка,10,103,black,other
подоконник,10,102,black,other
зола,10,102,#555aa4,stuff
мочалка,10,101,#51e41b,tool
сквер,10,101,#2e58bf,space
косица,10,100,black,other
хворост,10,99,#ecdf66,food/изделие
папоротник,10,99,black,other
шлепок,10,99,#8b4e0a,impact
яблоко,10,98,#2b5810,fruit/food
смешение,10,98,black,other
сосулька,10,98,black,other
лента,10,97,#89e27d,workcin
шелк,10,97,#555aa4,stuff
прилавок,10,97,#a55962,tool:furn$
полынь,10,96,#78a304,plant
кровля,10,96,black,other
обмундирование,10,96,black,other
бредень,10,96,#51e41b,tool
подштанники,10,95,#2fc8f3,tool:cloth
парусина,10,95,#555aa4,stuff
минерализация,10,94,black,other
улавливание,10,93,black,other
труба,10,93,#7bbf56,tool:mus
живот,10,93,#30822f,be:exist
шкот,10,92,black,other
мелочь,10,92,black,other
мыло,10,92,#555aa4,stuff
стойка,10,91,#2cb39f,tool:furn
темень,10,90,#2a1583,light/neg
я,10,89,#ed5c19,hum
лужок,10,89,#2e58bf,space
порох,10,89,#ed5c19,hum
очки,10,87,#51e41b,tool
окошко,10,86,#a449bc,tool/space
пудель,10,86,#85458d,animal
колесо,10,86,#a02574,tool:transp
баба,10,84,#ed5c19,hum
фотография,10,84,#94eec9,org
иван,10,84,black,other
куча,10,83,#92b011,quant:max
онуча,10,82,#2fc8f3,tool:cloth
щепка,10,81,black,other
джинсы,10,81,#2fc8f3,tool:cloth
гумно,10,80,#7b3a09,space/constr
рыло,10,79,black,other
операция,10,79,#a48547,action
челка,10,78,#d30a63,hair
кручение,10,78,black,other
зазимок,10,78,#555aa4,stuff
щит,10,76,#2e58bf,space
обеспыливание,10,75,black,other
усик,10,75,#d30a63,hair
картошка,10,74,#78a304,plant
пряник,10,74,#ecdf66,food/изделие
пурга,10,73,#f6d59c,weather
шлепка,10,73,black,other
рванье,10,73,#19a0ae,impact:нарушение целостности
афиша,10,72,#17263d,text
рассвет,10,72,#297e92,time
сорочка,10,72,#2fc8f3,tool:cloth
метелица,10,72,#f6d59c,weather
все,10,71,black,other
гильза,10,71,black,other
телеграмма,10,70,#17263d,text
золоулавливание,10,69,black,other
пожня,10,68,#b984cc,space/plot
душонка,10,68,black,other
