noun,humid,damp
grass,157,21522
northeast,155,59
mixture,154,639
tree,153,837
strip,151,355
twilight,150,459
sweat,149,1006
half,148,65
dawn,145,520
cold,145,4350
Monday,142,82
plant,142,245
corner,139,2916
tunnel,139,1215
water,138,233
acid,137,68
station,136,111
quality,136,134
week,135,96
dungeon,134,3489
pall,134,99
container,133,55
wing,131,533
marsh,130,585
stone,130,9211
coolness,130,1398
cavern,130,1016
depression,128,869
gleam,126,128
environs,126,85
end,123,599
hair,121,33038
border,120,319
hydrogen,119,69
ravine,119,848
odour,116,809
factory,115,56
Virginia,114,45
kind,114,153
wilderness,111,139
confines,111,165
cotton,110,5520
material,110,2438
fire,110,494
sunlight,109,78
vault,107,2408
rice,106,290
April,104,372
arm,104,595
tongue,103,256
town,103,147
gaze,102,55
building,102,1071
stench,100,196
mouth,98,581
October,93,559
Tuesday,92,52
softness,91,228
coastland,91,85
oven,89,75
desert,89,102
closeness,87,63
trade,87,54
blackness,87,281
weight,84,459
pine,83,863
hothouse,81,63
glow,81,87
Northwest,80,50
stream,80,152
timber,80,622
position,79,873
hollow,79,2610
range,79,46
prison,79,1405
deposit,78,127
beam,78,53
dust,77,1092
embrace,77,426
green,77,306
freshness,76,408
subsoil,76,313
home,76,568
Fig,75,89
decay,75,380
hall,75,425
quarter,74,1026
cough,74,54
sheet,73,9377
appearance,72,299
paper,72,17427
clinging,71,156
work,70,257
flat,69,327
straw,69,5692
glass,68,627
growth,67,203
fall,67,367
shed,66,80
dog,66,577
nest,65,285
blast,65,181
dell,64,125
edge,64,638
foliage,64,715
mine,63,678
limestone,63,319
cabin,63,361
perfume,63,125
outdoors,62,126
apartment,62,1020
wheat,62,470
fringe,61,195
oak,61,826
hay,60,2279
crevice,60,708
hell,60,88
shelter,60,417
Figure,58,48
wave,58,463
tonight,58,40
recess,58,829
San,58,62
December,57,563
flood,57,47
peat,57,2594
May,57,44
sample,56,178
bush,56,391
bottom,56,745
undergrowth,56,613
finger,56,3472
November,55,1216
office,55,65
tent,54,731
enclosure,53,98
touch,53,418
exposure,53,51
countryside,53,171
aroma,52,125
niche,52,81
gallery,51,234
canyon,51,183
pocket,50,545
filter,50,1423
dream,50,45
thicket,49,970
lake,49,103
hole,49,2238
furnace,49,52
heart,48,179
bottomland,48,106
discomfort,48,255
February,47,387
mud,47,2607
sleep,46,118
case,46,60
gorge,46,220
nostril,45,163
bedroom,45,305
fold,45,1130
drizzle,44,346
March,44,451
dark,44,211
patch,44,9286
sirocco,43,43
hallway,43,217
tundra,43,149
sort,42,187
feeling,42,873
tangle,42,621
expanse,42,76
gust,41,1034
warehouse,41,440
London,41,427
horror,41,232
star,40,48
grotto,40,351
